id,pred,gt,meta
-n5eIlDgY5w,(B) A yellow ornament. The pig in pink is holding an object that is similar to the blue ornament.,(A) A yellow trophy.,"{'video_id': '-n5eIlDgY5w', 'clip_id': '-n5eIlDgY5w-Scene-052', 'question': 'What is the object that this character receives?', 'hint': 'In the video, there is a female pig who is in a pink complexion, wearing a orange coat, red scarf, and brown hat, standing on yellow skis. This character is presented with an object that matches the color of the skis she is standing on.', 'multiple_choice': ['A yellow trophy.', 'A yellow ornament.', 'A yellow medal.', 'A yellow cup.'], 'multiple_choice_answer': 'A yellow trophy.', 'open_answer': 'The answer is a trophy.', 'scene_description': ""In a simplistic animated style typical of the 'Peppa Pig' series, the scene features three anthropomorphic characters against a plain, pale blue background. The first character, Mama Pig, is large with a pink complexion, wearing a brown coat, orange scarf, and brown hat, standing on yellow skis. Beside her is Peppa, a small pink piglet in a purple coat and hat. In the subsequent frames, Daddy Pig, also pink and wearing a purple coat with a ski helmet adorned with horns, joins them. Mama Pig is presented with a trophy that matches her yellow skis. The lighting is flat and even, with no shadows or highlights to suggest depth. The overall color palette consists of pastel tones. There are no other objects besides the characters and the trophy.""}"
-n5eIlDgY5w,"(A) A small, brown animated mouse.","(B) A small, brown animated hedgehog.","{'video_id': '-n5eIlDgY5w', 'clip_id': '-n5eIlDgY5w-Scene-138', 'question': 'What is this creature that exhibits such behavior?', 'hint': 'In the video, there is a certain creature with large, friendly eyes that initially approaches two other characters curiously from jumping out of a grey bucket, but upon interaction, it becomes startled.', 'multiple_choice': ['A small, brown animated mouse.', 'A small, brown animated hedgehog.', 'A small, brown animated squirrel.', 'A small, brown animated rabbit.'], 'multiple_choice_answer': 'A small, brown animated hedgehog.', 'open_answer': 'The answer is the small, brown animated hedgehog.', 'scene_description': ""The scene opens at night in a backyard with a wooden fence. A small, brown animated hedgehog is in the foreground on green grass with a few daisies. It moves towards Peppa Pig and her brother George, who are curious and delighted to see it. Peppa is wearing a red dress and yellow boots, George is in blue attire. The hedgehog has large, friendly eyes and a small yellow flower near it. As they greet it, it gets startled and rolls into a defensive ball. The lighting suggests it's evening or nighttime with a dark blue sky. The characters express surprise, and the environment is tranquil but curious. The animation style is simple, colorful, and child-friendly with smooth edges and pastel colors.""}"
-n5eIlDgY5w,(B) A grey rabbit.,(B) A grey rabbit.,"{'video_id': '-n5eIlDgY5w', 'clip_id': '-n5eIlDgY5w-Scene-206', 'question': 'What animal is this character?', 'hint': ""In the vibrant classroom scene with cartoon animal children, there is a character with a blue hat standing next to a model rocket. This character is surrounded by educational posters, a blackboard with 'ABC' and '12345' written on it, and various small animals. The lighting in the room is bright and evenly lit. The character who is talking to the children is dressed as an astronaut in a rocket."", 'multiple_choice': ['A blue pig.', 'A grey rabbit.', 'A blue cat.', 'A grey rat.'], 'multiple_choice_answer': 'A grey rabbit.', 'open_answer': 'The answer is a rabbit.', 'scene_description': ""The scene opens in a vibrant classroom filled with various cartoon animal children, including the main character Peppa Pig and her friends, attentively listening to Miss Rabbit, who is dressed as an astronaut. She stands next to a model rocket, against a colorful backdrop of educational posters, a blackboard with 'ABC' and '12345' written on it, and toys. The lighting is bright and evenly lit. The palette is primarily purples, pinks, and other pastel colors characteristic of the show's aesthetic. The scene transitions to a close-up of Miss Rabbit inside an actual rocket with circular windows, portraying the reminiscence of her space adventure. Finally, the scene shows a full-scale white rocket with red and yellow details on the launch pad, suggesting it's the one Miss Rabbit previously flew in.""}"
-n5eIlDgY5w,(A) Suzy Sheep.,(B) Peppa Pig.,"{'video_id': '-n5eIlDgY5w', 'clip_id': '-n5eIlDgY5w-Scene-292', 'question': 'What is the name of this character who appears to be upset?', 'hint': 'In the video, there is a character who is expressing indignation with her mouth wide open. This character is dressed in a white dress with pink shoes and is an anthropomorphic animal with a pink complexion. She is possibly arguing that another character using her trunk in a game is unfair.', 'multiple_choice': ['Suzy Sheep.', 'Peppa Pig.', 'Rebecca Rabbit.', 'Zoe Zebra.'], 'multiple_choice_answer': 'Peppa Pig.', 'open_answer': 'The answer is Peppa Pig.', 'scene_description': ""In the scene, two animated characters, Peppa Pig and Emily Elephant, are standing on a simple, flat colored playground with a hint of green grass and a blue sky. Both characters are anthropomorphic animals dressed in white dresses with pink shoes and red shoes respectively. Peppa, a pink pig, expresses indignation with her mouth wide open in the last two frames, possibly arguing that Emily using her trunk in a game is unfair. Emily, a grey elephant with a hint of blush on her cheeks and a small straight tail visible behind her dress, looks surprised or concerned by Peppa's reaction, evident by her raised eyebrows and open mouth. The lighting is flat with no shadows, typical of the cartoon style. There are minimal background details except for some flowers and butterflies to create a cheerful atmosphere.""}"
-RUFxvbnGNU,"(A) A bow tie. The character is communicating to an off-camera audience with great enthusiasm and using expressive hand gestures. The character is wearing a distinctively patterned shirt with blue and purple stripe and is wearing an object on his neck, which is likely a bow tie.",(B) A scarf.,"{'video_id': '-RUFxvbnGNU', 'clip_id': '-RUFxvbnGNU-Scene-057', 'question': 'Could you identify what specific item the character has adorned their neck with?', 'hint': 'In the video, there is a scene that there is a character who is seen communicating to an off-camera audience with great enthusiasm and using expressive hand gestures. The character is wearing a distinctively patterned shirt with blue and purple stripe and is wearing an object on his neck.', 'multiple_choice': ['A bow tie.', 'A scarf.', 'A necktie.', 'A necklace.'], 'multiple_choice_answer': 'A scarf.', 'open_answer': 'The answer is a scarf.', 'scene_description': ""In the scene, a character in a blue and yellow striped shirt with a scarf around their neck is seen enthusiastically addressing an off-camera audience. They gesture expressively with their hands as they speak. The environment appears to be a cozy, well-lit living space with modern decor including plants, colorful curtains, and contemporary furniture. Following this, another character wearing a vibrant, colorful dress enters the scene, speaking animatedly and continuing the lively interaction. They are adorned with accessories and move energetically around the room. The ambiance suggests a humorous or light-hearted segment, possibly from a comedy show or sitcom. The characters' lively expressions and colorful clothing hint at a festive or celebratory occasion.""}"
-RUFxvbnGNU,(C) A water bottle that she has just taken a sip from.,(A) A smart phone with a red design.,"{'video_id': '-RUFxvbnGNU', 'clip_id': '-RUFxvbnGNU-Scene-152', 'question': 'What is this object?', 'hint': ""In the video, a woman in a blue blouse with polka dots and a blue jean, there's an object held in the woman's hand."", 'multiple_choice': ['A smart phone with a red design.', 'There is nothing in her hand.', 'A water bottle that she has just taken a sip from.', 'A litte handbag with a floral pattern.'], 'multiple_choice_answer': 'A smart phone with a red design.', 'open_answer': 'The answer is a smart phone.', 'scene_description': ""The scene takes place in a vividly colored room resembling a living area with bright pink floral decorations on the wall and various eclectic decor pieces. A character in a blue blouse with polka dots and jeans stands in the foreground holding a phone case, appearing to be in mid-conversation or reaction, touching their neck and chest. Their expressions suggest they are engaged in a casual yet emotional dialogue. The lighting is bright and well-lit, indicative of a daytime setting. Another character in a colorful, patterned dress and green bracelets raises their hands in a halting gesture, likely responding to the first character's statements. The decor suggests a quirky, fun atmosphere, possibly for a comedy or sitcom. Objects like books, decorative plates, and household items fill the background, adding to the lived-in feel of the setting.""}"
-RUFxvbnGNU,(A) A well-known cartoon character.,(B) A large lip design.,"{'video_id': '-RUFxvbnGNU', 'clip_id': '-RUFxvbnGNU-Scene-227', 'question': ""What is the design on the character's t-shirt?"", 'hint': 'In the video, there is a character who is standing in a modern kitchen setting with white cabinets and appliances. He is wearing a vibrant t-shirt with a large design on the front, and his body language is expressive as he gestures emphatically while speaking. He is surrounded by various kitchen items, including some green canisters on the counter.', 'multiple_choice': ['A well-known cartoon character.', 'A large lip design.', 'A famous quote or saying.', 'A coloful floral pattern.'], 'multiple_choice_answer': 'A large lip design.', 'open_answer': 'The answer is a large lip design.', 'scene_description': 'In the clip, a character is standing in a brightly lit, modern kitchen setting, exuding confidence and sass as they deliver their lines. They are wearing a vibrant tie-dye t-shirt with a large, sequined lip design on the front, indicating a flamboyant and lively personality. The kitchen is clean, with white cabinets and appliances that suggest a well-maintained space. There are various kitchen items like green canisters on the counter, adding pops of color. The character gestures emphatically while speaking, pointing upward with one finger to emphasize their point before swiftly switching to a dismissive hand wave. Their expressive body language conveys a nonchalant yet defiant attitude towards the suggestion of leaving the suite.'}"
-RUFxvbnGNU,(C) Black Widow.,(A) Wonder Woman.,"{'video_id': '-RUFxvbnGNU', 'clip_id': '-RUFxvbnGNU-Scene-322', 'question': 'What is the identity of this costume?', 'hint': 'In the video, there is a scene that in the modern living room with contemporary furniture and colorful cushions, a character is seen full of energy and confidence, pointing and moving their hands as she speaks. This person is dressed in a costume that is reminiscent of a popular superhero known for her strength, bravery, and iconic outfit.', 'multiple_choice': ['Wonder Woman.', 'Supergirl.', 'Black Widow.', 'Catwoman.'], 'multiple_choice_answer': 'Wonder Woman.', 'open_answer': 'The answer is Wonder Woman.', 'scene_description': ""The scene takes place in a brightly lit, modern living room with contemporary furniture and colorful cushions. A character dressed in a Wonder Woman costume energetically gesticulates, apparently commanding or instructing someone. She is full of energy and confidence, pointing and moving her hands as she speaks. The other character, wearing a casual floral shirt and shorts, reacts with exaggerated body language, showing surprise and curiosity. He bends forward slightly, hands open as if asking a question or expressing disbelief. The background includes stylish chairs, a sofa, indoor plants, and modern decor. The room has a large window or glass door on the left that lets in natural light. There's also a small coffee table with a pink flamingo decoration and a pair of sneakers underneath it.""}"
1GlSp4Uh32Y,(C) A big piece of black bread he just bought from a store.,(D) The takeout he just picked up.,"{'video_id': '1GlSp4Uh32Y', 'clip_id': '1GlSp4Uh32Y-Scene-006', 'question': 'What is in the plastic bag?', 'hint': ""In the video, there's a seated individual who seems to be engaged in an animated conversation or storytelling. This person is wearing a casual grey T-shirt and is in a medium close-up shot. There's also a plastic bag with Japanese text."", 'multiple_choice': ['A black bowl he just bought to hold his food.', 'The meal from the yesterday he just took out from the fridge.', 'A big piece of black bread he just bought from a store.', 'The takeout he just picked up.'], 'multiple_choice_answer': 'The takeout he just picked up.', 'open_answer': 'The answer is the meal or food items or takeout order.', 'scene_description': 'A seated individual, wearing a casual grey T-shirt, is featured in a medium close-up shot with a plastic bag prominently displayed on the table. The bag has Japanese text, indicating a connection to a restaurant or food establishment. The room has a simple interior with white walls; posters and signs are visible in the background. The lighting is bright, giving the scene an indoor, daytime appearance. The person is gesturing with their hands while speaking, suggesting an animated conversation or storytelling. The environment seems like a casual dining space, with other patrons and wooden furnishings subtly visible in the background. The atmosphere appears relaxed yet engaged, as the individual seems to be recounting a personal experience related to the contents of the bag or the establishment it represents.'}"
1GlSp4Uh32Y,"(A) The black bowl presumably contains a dish that is too salty that dried out the subject's throat. Based on the visual, the subject is holding the bowl with both hands and taking a bite, which implies that it is a common occurrence. The subject looks uncomfortable with their mouth closed, indicating that the food is not palatable. The use of chopsticks also supports the idea of eating a food item that is difficult to",(C) The black bowl presumably contains a very spicy dish that makes the subject's throat burn.,"{'video_id': '1GlSp4Uh32Y', 'clip_id': '1GlSp4Uh32Y-Scene-014', 'question': 'What is the black bowl presumably containing that is causing such a discomfortable reaction from the subject?', 'hint': 'In the video, there is a domestic setting with a kitchen counter and a wall decor that implies a home environment. The subject is wearing a gray T-shirt and is sitting at a table with a black bowl in front of him, holding chopsticks and touching his throat.', 'multiple_choice': [""The black bowl presumably contains a dish that is too salty that dried out the subject's throat."", 'The black bowl presumably contains a dish that is past its expiration date, which is hard to swallow.', ""The black bowl presumably contains a very spicy dish that makes the subject's throat burn."", ""The black bowl presumably contains a fish bone that got stuck in the subject's throat.""], 'multiple_choice_answer': ""The black bowl presumably contains a very spicy dish that makes the subject's throat burn."", 'open_answer': ""The answer is the black bowl presumably contains a very spicy dish that makes the subject's throat burn."", 'scene_description': ""The scene unfolds in a home setting, likely a dining area given the presence of a kitchen counter and a wall decor that implies a domestic environment. The subject, wearing a gray T-shirt, sits at a table with a black bowl in front of them, presumably containing a very spicy dish. With chopsticks in hand, the subject gestures towards their throat and body to indicate the intense spiciness spreading through their system. The natural lighting suggests daytime. The subject's expressive body language, reaching out and touching their neck, communicates the overwhelming heat sensation. Other items on the table are not clearly visible. The voice-over describes an experience similar to a 'super-sub' in soccer, implying that eating this dish dramatically changes the game—or in this case, the eater's mood and tension.""}"
